0.25 0.25 0.25 0.25
circuit 0.000175 0.001725 0.0015 0.0013
meter 0.000475 0.003775 0.000175 0.000275
kidnapp 0.004525 0.000125 2.5e-05 2.5e-05
jack 0.00215 0.00095 0.00115 0.00045
buyer 0.0002 5e-05 0.003175 0.001275
chemic 0.00165 5e-05 0.0019 0.0011
reliev 0.000675 0.002975 0.0007 0.00035
librari 0.000475 7.5e-05 0.00045 0.0037
bare 0.000825 0.00155 0.001425 0.000875
astronom 0.00015 2.5e-05 5e-05 0.00445
snap 0.000825 0.00205 0.000975 0.000825
vaccin 0.001075 2.5e-05 0.002125 0.00145
stronghold 0.004475 2.5e-05 7.5e-05 0.0001
sustain 0.00115 0.001175 0.001425 0.000925
scene 0.002225 0.00115 0.00035 0.00095
beckham 0.0001 0.004075 5e-05 0.00045
arthriti 0.000275 2.5e-05 0.0041 0.000275
oppos 0.00215 0.00095 0.0008 0.00075
examin 0.001475 0.0008 0.000975 0.0014
dope 0.00015 0.0043 2.5e-05 0.000175
activist 0.003525 0.000125 0.0003 0.0007
fair 0.001525 0.00085 0.001125 0.00115
type 0.000275 0.00055 0.0005 0.003325
mosqu 0.00455 2.5e-05 2.5e-05 5e-05
label 0.0008 0.000375 0.00085 0.0026
detect 0.001025 0.000325 0.000425 0.00285
landmark 0.003025 0.000175 0.000475 0.00095
quoti 0.000575 0.00315 0.000425 0.000475
arena 0.0002 0.0034 0.000325 0.0007
bridg 0.001725 0.00155 0.000525 0.000825
tear 0.001825 0.002425 0.00015 0.000225
nigerian 0.00275 0.00015 0.0016 0.000125
chechen 0.004475 2.5e-05 2.5e-05 0.0001
slump 0.00035 0.001575 0.0025 0.000175
aliv 0.002225 0.001575 0.0003 0.0005
qaeda 0.0043 5e-05 0.00015 0.0001
bottom 0.000475 0.002525 0.000725 0.000875
90 0.000975 0.000925 0.000675 0.002025
morgan 0.000525 0.001 0.002725 0.00035
rooney 0.000225 0.004275 5e-05 5e-05
guid 0.0004 0.00135 0.001175 0.00165
bitter 0.001375 0.0013 0.001325 0.000575
ice 0.0003 0.00175 0.0003 0.002225
complaint 0.001225 0.000475 0.001375 0.0015
optim 0.0006 0.00045 0.001825 0.0017
maria 0.0007 0.00365 0.000175 5e-05
ii 0.002725 0.000425 0.0003 0.001125
enforc 0.00125 0.000425 0.00115 0.00175
asid 0.001075 0.0011 0.001775 0.000625
mayor 0.001875 0.001325 0.0007 0.000675
sometim 0.00075 0.000975 0.000725 0.0021
osama 0.004075 2.5e-05 0.000225 0.000225
obtain 0.0011 0.000475 0.0011 0.001875
starter 0.00015 0.003775 2.5e-05 0.0006
tworun 0.000225 0.004275 2.5e-05 2.5e-05
packer 5e-05 0.0042 0.000275 2.5e-05
46 0.00055 0.0022 0.001625 0.000175
curt 0.00025 0.004175 7.5e-05 5e-05
coup 0.0041 0.00015 0.00015 0.00015
piraci 7.5e-05 2.5e-05 0.000225 0.0042
batter 0.001675 0.001175 0.0014 0.000275
cbc 2.5e-05 0.0043 7.5e-05 0.000125
extrem 0.001225 0.000725 0.00055 0.002
fierc 0.002525 0.0006 0.00085 0.000525
wrap 0.00125 0.0017 0.00055 0.001
ankl 0.0001 0.004325 2.5e-05 5e-05
52 0.000675 0.002375 0.00135 0.0001
recruit 0.00225 0.0011 0.000375 0.000775
appli 0.000725 0.000425 0.0015 0.00185
comeback 0.000525 0.00355 0.00025 0.000175
successor 0.002225 0.0005 0.0008 0.000975
spywar 7.5e-05 2.5e-05 0.000275 0.0041
34 0.000975 0.001525 0.0012 0.000775
easier 0.000275 0.0004 0.000775 0.003025
mistak 0.001475 0.001975 0.00045 0.00055
netherland 0.001825 0.00125 0.00075 0.000625
understand 0.001075 0.001 0.00055 0.001825
blockbust 0.00015 0.00045 0.002925 0.000925
presenc 0.001475 0.000725 0.0012 0.00105
turkish 0.004 0.00015 0.000175 0.000125
d 0.0002 0.00145 0.0016 0.0012
tourist 0.003 0.0005 0.00025 0.0007
ltpgtltpgtltpgt 0.002325 2.5e-05 0.000675 0.001425
languag 0.00075 0.0002 0.000275 0.003225
steeler 5e-05 0.00435 2.5e-05 2.5e-05
incid 0.002575 0.0011 0.00015 0.000625
curb 0.001275 0.000125 0.00215 0.000875
complex 0.00105 0.000475 0.00115 0.00175
function 0.0003 0.000175 0.0003 0.00365
shoulder 0.0002 0.003825 0.00015 0.00025
freez 0.0028 0.000175 0.000975 0.000475
frustrat 0.000725 0.0024 0.0004 0.0009
hamm 0.00055 0.003775 7.5e-05 2.5e-05
abduct 0.0041 0.000175 2.5e-05 0.000125
colt 7.5e-05 0.0043 2.5e-05 2.5e-05
wenger 7.5e-05 0.0043 2.5e-05 2.5e-05
mclennan 0.0001 2.5e-05 0.004275 2.5e-05
band 0.001025 0.000325 0.0006 0.00245
malaysia 0.0029 0.0001 0.000775 0.000625
infect 0.0009 0.000325 0.0002 0.002975
discoveri 0.00055 0.0001 0.000325 0.003425
shopper 0.000325 2.5e-05 0.002775 0.001275
jeann 0.002825 0.000775 0.000575 0.000225
actual 0.000425 0.0009 0.00065 0.0024
pioneer 0.000175 0.0001 0.001 0.0031
strateg 0.00095 7.5e-05 0.0018 0.00155
adrian 0.0006 0.0037 5e-05 2.5e-05
stephen 0.00045 0.00265 0.000675 0.0006
compens 0.001425 0.00045 0.002025 0.000475
constitut 0.0035 0.000125 0.00035 0.0004
definit 0.000675 0.0009 0.0009 0.0019
43 0.000625 0.00205 0.00155 0.00015
caribbean 0.0028 0.00045 0.000425 0.000675
mayb 0.0002 0.002625 0.000525 0.001
twoyear 0.0005 0.0026 0.000875 0.000375
longawait 0.0004 0.000475 0.001425 0.00205
greatest 0.00055 0.002625 0.0002 0.000975
remark 0.001125 0.00175 0.000925 0.00055
relationship 0.000975 0.0009 0.000675 0.001775
photograph 0.00225 0.0003 0.000525 0.00125
hors 0.000275 0.00255 0.00015 0.00135
venezuela 0.00265 0.000375 0.00115 0.00015
editor 0.00105 0.0002 0.00105 0.002025
indi 0.000175 0.00405 2.5e-05 7.5e-05
phoenix 0.000275 0.0035 0.0003 0.00025
especi 0.00055 0.001025 0.00105 0.0017
miller 0.000175 0.003675 0.00035 0.000125
austria 0.001075 0.002525 0.000325 0.0004
evacu 0.0034 0.000275 0.000475 0.000175
jaguar 0.00015 0.0029 0.001175 0.0001
nobel 0.002375 7.5e-05 0.0002 0.00165
invas 0.003425 5e-05 0.0002 0.000625
brain 0.00065 0.000675 0.000175 0.0028
acknowledg 0.001975 0.0006 0.00075 0.000975
batteri 0.0003 0.0004 0.000375 0.003225
highlight 0.00105 0.001275 0.0008 0.001175
vega 0.00035 0.00245 0.000875 0.000625
pursu 0.0016 0.000575 0.000925 0.0012
fouryear 0.000625 0.0023 0.000775 0.0006
vietnam 0.0028 0.000125 0.0011 0.000275
lleyton 0.00015 0.0041 2.5e-05 2.5e-05
silicon 2.5e-05 7.5e-05 0.000525 0.00365
letter 0.001325 0.000675 0.001325 0.00095
contend 0.000775 0.002075 0.0006 0.000825
repeat 0.00145 0.001725 0.000625 0.000475
navi 0.001825 0.001375 0.0007 0.000375
clean 0.001175 0.000775 0.000975 0.00135
philip 0.000425 0.00065 0.00185 0.00135
bargain 0.000475 0.001375 0.00195 0.00045
collabor 0.000775 0.0001 0.000325 0.00305
multipl 0.00065 0.0003 0.00085 0.00245
cassini 5e-05 2.5e-05 2.5e-05 0.00415
jordan 0.002025 0.001875 0.0001 0.00025
narrow 0.000625 0.000775 0.002425 0.000425
oversea 0.0008 0.000275 0.00185 0.001325
unpreced 0.001625 0.0011 0.00075 0.000775
53 0.000675 0.001475 0.001775 0.000325
sentiment 0.00045 0.000225 0.003375 0.0002
crown 0.001225 0.0021 0.0005 0.000425
sbc 2.5e-05 0.00045 0.0022 0.001575
steroid 0.0001 0.003875 7.5e-05 0.0002
charlott 0.000425 0.003 0.000625 0.0002
arabia 0.00195 5e-05 0.001975 0.00025
telescop 2.5e-05 5e-05 5e-05 0.0041
anthoni 0.000125 0.0034 0.0004 0.0003
id 0.000175 0.00015 0.00045 0.00345
mostli 0.0012 0.000625 0.001575 0.000825
secondlargest 0.000325 2.5e-05 0.003225 0.00065
condemn 0.0031 0.00055 0.0002 0.000375
petroleum 0.00045 2.5e-05 0.0036 0.00015
margin 0.0008 0.0006 0.0024 0.000425
sight 0.0005 0.00145 0.00095 0.001325
shanghai 0.00075 0.001875 0.001 0.000575
outsourc 0.000175 2.5e-05 0.001675 0.002325
spammer 5e-05 2.5e-05 0.0003 0.003825
antiviru 2.5e-05 2.5e-05 0.000175 0.003975
lowest 0.0003 0.000325 0.0034 0.000175
hassan 0.004075 5e-05 5e-05 2.5e-05
blew 0.002875 0.000725 0.00025 0.00035
ben 0.000375 0.003025 0.000575 0.0002
showdown 0.001 0.002825 0.000125 0.000225
convoy 0.004025 7.5e-05 5e-05 2.5e-05
crush 0.00135 0.002125 0.00045 0.00025
sack 0.00105 0.0028 0.000225 0.0001
tumbl 0.00035 0.000325 0.003175 0.0003
prais 0.001725 0.001375 0.000475 0.000575
exhibit 0.000575 0.002425 0.000325 0.000825
congo 0.0039 5e-05 5e-05 0.00015
lab 0.000275 0.0003 0.000425 0.00315
foot 0.00075 0.002275 0.000625 0.0005
mp3 2.5e-05 2.5e-05 0.000125 0.003975
bankrupt 0.0001 7.5e-05 0.00365 0.000325
deliveri 0.0004 0.000225 0.001675 0.00185
fed 0.000275 0.001175 0.002025 0.000675
capsul 0.0004 7.5e-05 7.5e-05 0.0036
excit 0.000225 0.00205 0.0007 0.001175
ferguson 0.0002 0.003825 0.0001 2.5e-05
bet 0.000325 0.000875 0.0022 0.000725
tropic 0.003125 7.5e-05 0.0002 0.000725
roundup 7.5e-05 2.5e-05 0.0002 0.003825
regulatori 0.000225 2.5e-05 0.00255 0.001325
manmohan 0.0036 2.5e-05 0.000475 2.5e-05
bull 0.00025 0.00325 0.000575 5e-05
carter 0.000475 0.003525 0.0001 2.5e-05
spi 0.002675 2.5e-05 2.5e-05 0.0014
threegam 0.000125 0.00395 2.5e-05 2.5e-05
brief 0.00115 0.000875 0.001225 0.000875
maryland 0.00015 0.00255 0.0004 0.001025
felt 0.00065 0.002575 0.0006 0.0003
ryan 5e-05 0.003175 0.00025 0.00065
carl 0.00015 0.0026 0.0012 0.000175
homeland 0.00135 0.000175 0.0004 0.0022
church 0.00325 0.000175 0.000325 0.000375
fileshar 5e-05 2.5e-05 0.000725 0.003325
oneday 0.000625 0.003025 0.000325 0.00015
bigger 0.0005 0.000775 0.00145 0.001375
aboard 0.001675 0.000325 0.000275 0.001825
contact 0.00135 0.00065 0.000525 0.001575
flow 0.000875 0.000525 0.001575 0.001125
fiveyear 0.00075 0.00145 0.001425 0.000475
inaugur 0.001425 0.002275 0.00025 0.00015
bc 0.000375 0.0034 0.000125 0.0002
famou 0.001025 0.001275 0.0007 0.001075
consult 0.000625 0.0002 0.001675 0.001575
reader 7.5e-05 0.000225 0.00055 0.003225
opinion 0.001375 0.00075 0.000625 0.001325
divid 0.002425 0.000325 0.0007 0.000625
fought 0.0018 0.001425 0.000475 0.000375
wear 0.00115 0.00205 0.0004 0.000475
seal 0.001325 0.0015 0.000675 0.000575
detain 0.00375 0.0001 0.000175 5e-05
volum 0.000175 0.00015 0.00265 0.0011
valley 0.000475 0.0008 0.00115 0.001625
notic 0.00055 0.000875 0.000775 0.00185
innov 0.000175 5e-05 0.00085 0.002975
playstat 0.0001 2.5e-05 0.0002 0.003725
tank 0.0029 0.0001 0.000475 0.000575
inquiri 0.002075 0.0003 0.00145 0.000225
vodafon 7.5e-05 7.5e-05 0.0015 0.0024
palm 0.0008 0.0013 0.00045 0.0015
sweden 0.0007 0.002125 0.000425 0.0008
normal 0.000875 0.000675 0.001125 0.00135
rape 0.0018 0.00195 0.000125 0.00015
spitzer 5e-05 2.5e-05 0.003525 0.000425
margaret 0.003775 7.5e-05 5e-05 0.000125
flagship 0.000125 5e-05 0.001625 0.002225
string 0.0017 0.000675 0.001 0.00065
religi 0.00355 7.5e-05 7.5e-05 0.000325
kenneth 0.00305 0.000125 0.000525 0.000325
pole 0.000275 0.0031 0.000175 0.000475
object 0.00105 0.00035 0.000725 0.0019
accid 0.0017 0.00115 0.000375 0.000775
qualiti 0.00015 0.000725 0.000925 0.0022
ipo 2.5e-05 2.5e-05 0.002225 0.001725
restrict 0.001275 0.0005 0.001325 0.0009
cant 0.0004 0.0011 0.000475 0.002025
repair 0.00025 0.001275 0.00045 0.002025
laptop 0.0001 2.5e-05 0.000325 0.00355
choos 0.00155 0.000625 0.000625 0.0012
briton 0.002525 0.00095 0.00025 0.000275
split 0.000825 0.001225 0.001325 0.000625
sear 0.0001 0.000125 0.00365 0.000125
ca 0.0001 0.0021 0.00035 0.001425
tire 0.000525 0.001 0.0016 0.00085
hail 0.00185 0.001225 0.00025 0.00065
nortel 5e-05 2.5e-05 0.002925 0.000975
sa 0.000525 0.00015 0.00275 0.00055
buri 0.0026 0.00055 5e-05 0.000775
referendum 0.00285 7.5e-05 0.000825 0.000225
motorola 7.5e-05 2.5e-05 0.0015 0.002375
amsterdam 0.0017 0.000625 0.00065 0.001
mail 0.0005 0.00025 0.000925 0.002275
isnt 0.000425 0.00105 0.0005 0.001975
henri 0.00025 0.00305 0.00035 0.0003
ancient 0.000875 0.000925 0.0002 0.00195
phelp 0.0009 0.00295 5e-05 5e-05
counterpart 0.001875 0.000575 0.00095 0.00055
monthli 0.0004 7.5e-05 0.001975 0.0015
backup 0.000225 0.002025 0.000375 0.001325
wasn 0.000225 0.003125 0.00025 0.00035
lebanon 0.0038 2.5e-05 7.5e-05 5e-05
beslan 0.003825 2.5e-05 5e-05 5e-05
gap 0.00045 0.000875 0.001925 0.000675
stall 0.002375 0.0003 0.001 0.00025
medicin 0.00065 7.5e-05 0.001625 0.001575
contractor 0.00145 7.5e-05 0.001425 0.000975
150 0.00145 0.000475 0.000975 0.001025
tighten 0.001675 0.0004 0.001375 0.000475
instrument 0.00035 0.0001 0.001175 0.002275
clinic 0.00055 0.00045 0.002375 0.000525
overhaul 0.0012 0.0005 0.0012 0.001
northeastern 0.00195 0.00115 0.00035 0.00045
plenti 0.000375 0.00165 0.000775 0.0011
someon 0.000475 0.0015 0.000525 0.0014
unemploy 0.00095 0.000125 0.002725 0.0001
map 0.00075 0.0003 0.000325 0.002525
liquid 0.0002 2.5e-05 0.00185 0.001825
assess 0.001125 0.000375 0.001325 0.001075
39ll 0.000275 0.001825 0.0009 0.0009
acceler 0.000625 7.5e-05 0.001275 0.001925
overcom 0.00095 0.0022 0.00035 0.0004
trafford 0.00015 0.0037 2.5e-05 2.5e-05
sens 0.00065 0.001175 0.000725 0.001325
color 0.0004 0.000575 0.000375 0.002525
shown 0.001375 0.00085 0.000725 0.000925
im 0.000225 0.000475 0.000275 0.0029
interior 0.003175 2.5e-05 0.000175 0.0005
orang 0.00035 0.00215 0.000575 0.0008
brawl 0.00015 0.00365 2.5e-05 5e-05
buffalo 2.5e-05 0.003425 0.0002 0.000225
golden 0.0002 0.0029 0.00045 0.000325
1990 0.000975 0.000425 0.0011 0.001375
cowboy 0.000225 0.00355 7.5e-05 2.5e-05
branch 0.0007 0.000375 0.001675 0.001125
assur 0.00135 0.00105 0.001 0.000475
bloodi 0.003275 0.00025 0.000125 0.000225
descript 0.0012 0.000575 0.00095 0.00115
chile 0.002675 0.0005 0.0004 0.0003
hang 0.00075 0.001425 0.001025 0.00065
charley 0.00095 5e-05 0.002275 0.000575
daniel 0.000625 0.001375 0.000725 0.001125
feet 0.0009 0.001275 0.0005 0.001175
destruct 0.002675 5e-05 0.0004 0.000725
influenc 0.001675 0.00065 0.000725 0.0008
restaur 0.00075 0.000325 0.002425 0.00035
dick 0.002275 0.00095 0.000275 0.00035
unexpect 0.000575 0.00065 0.0016 0.001025
xbox 2.5e-05 2.5e-05 5e-05 0.00375
bounc 0.000325 0.00155 0.001525 0.000425
spacecom 2.5e-05 2.5e-05 2.5e-05 0.00375
exclus 0.000525 0.00065 0.00105 0.0016
sluggish 0.00045 0.000375 0.0026 0.0004
stern 0.000275 0.001325 0.001875 0.00035
kmart 5e-05 5e-05 0.0037 2.5e-05
tribun 0.002575 0.000225 0.000925 0.0001
lockout 7.5e-05 0.0035 0.000225 2.5e-05
cocacola 0.000125 0.0001 0.0035 0.0001
gasolin 0.000375 2.5e-05 0.003275 0.00015
kim 0.001075 0.002175 0.0001 0.000475
citigroup 0.0001 2.5e-05 0.00355 0.00015
cairo 0.002975 2.5e-05 0.0008 2.5e-05
promin 0.001225 0.000525 0.0011 0.00095
simpl 0.00035 0.0012 0.000675 0.001575
articl 0.0002 0.000225 0.0005 0.002875
widespread 0.0016 0.000275 0.0007 0.001225
mother 0.0017 0.000825 0.000375 0.0009
rip 0.0024 0.000525 0.000175 0.0007
devil 0.000125 0.003475 7.5e-05 0.000125
firsthalf 0.000125 0.001325 0.0023 5e-05
dan 0.00025 0.002575 0.0001 0.000875
aviat 0.000475 7.5e-05 0.00225 0.001
swap 0.000525 0.00045 0.001025 0.0018
palac 0.0019 0.001625 0.000175 0.0001
44 0.000925 0.000875 0.0015 0.0005
shortag 0.00085 7.5e-05 0.00195 0.0009
eventu 0.0007 0.00095 0.0008 0.001325
peak 0.0003 0.000425 0.0018 0.00125
theyr 0.00035 0.000825 0.00035 0.00225
nc 0.00035 0.002475 0.000625 0.000325
cycl 0.0006 0.00215 0.000325 0.0007
port 0.0013 0.00035 0.00095 0.001175
trap 0.002675 0.000375 0.0002 0.000525
proceed 0.001125 0.000475 0.0013 0.000875
3g 5e-05 2.5e-05 0.00085 0.00285
nextgener 2.5e-05 2.5e-05 0.0005 0.003225
tip 0.000925 0.000875 0.0006 0.001375
secondquart 0.000175 7.5e-05 0.0033 0.000225
whole 0.0006 0.00105 0.001 0.001125
oneyear 0.00015 0.0032 0.000275 0.00015
silver 0.00025 0.002825 0.000275 0.000425
startup 5e-05 5e-05 0.000525 0.00315
memphi 0.00015 0.00335 0.000175 0.0001
comfort 0.00055 0.002275 0.00045 0.0005
membership 0.00275 0.000175 0.000525 0.000325
creation 0.000875 0.0001 0.00115 0.00165
piston 5e-05 0.003675 2.5e-05 2.5e-05
adob 2.5e-05 2.5e-05 0.000625 0.0031
venu 0.00025 0.002775 2.5e-05 0.0007
flag 0.001075 0.00145 0.000775 0.00045
s 0.000475 0.00055 0.001825 0.0009
consortium 0.00025 0.000225 0.0016 0.001675
luxuri 0.00065 0.0005 0.002425 0.000175
allstar 0.000125 0.003575 2.5e-05 2.5e-05
va 0.000375 0.001525 0.00135 0.0005
midfield 0.0001 0.0036 2.5e-05 2.5e-05
f 0.0007 0.00085 0.001025 0.00115
fate 0.0021 0.000875 0.00045 0.0003
dog 0.001125 0.000625 0.000475 0.0015
unusu 0.0009 0.000525 0.0009 0.0014
ip 0.0001 2.5e-05 0.00045 0.00315
happi 0.00045 0.0018 0.000575 0.0009
retreat 0.00055 0.000125 0.002425 0.000625
merg 0.0003 7.5e-05 0.00225 0.0011
physic 0.000675 0.001325 0.000175 0.00155
genet 0.000325 5e-05 0.000225 0.003125
desper 0.001425 0.001575 0.00045 0.000275
easili 0.000775 0.0012 0.00035 0.0014
khartoum 0.00365 2.5e-05 2.5e-05 2.5e-05
shape 0.000725 0.00095 0.000775 0.001275
connecticut 0.000175 0.002525 0.000675 0.00035
lineback 2.5e-05 0.00365 2.5e-05 2.5e-05
friendli 0.000325 0.00205 0.000725 0.000625
mosul 0.00365 2.5e-05 2.5e-05 2.5e-05
concess 0.0006 0.00025 0.002825 5e-05
coordin 0.0011 0.0017 0.000275 0.00065
usatodaycom 0.0007 0.0002 0.000325 0.002475
chad 0.00075 0.00255 0.000275 0.000125
fashion 0.000625 0.0015 0.000925 0.00065
lowcost 0.000225 2.5e-05 0.002025 0.001425
modern 0.000775 0.0009 0.000375 0.00165
captiv 0.00295 2.5e-05 7.5e-05 0.00065
exploit 0.00045 0.00025 0.0002 0.0028
ncaa 2.5e-05 0.003575 2.5e-05 7.5e-05
banker 0.000275 0.000125 0.003125 0.000175
phil 0.000375 0.0028 0.00025 0.000275
kodak 5e-05 5e-05 0.00175 0.00185
rocki 0.00015 0.0025 0.000375 0.00065
vast 0.00155 7.5e-05 0.0006 0.00145
1999 0.0005 0.0013 0.001225 0.00065
bangalor 0.000525 0.001425 0.000975 0.00075
visitor 0.000825 0.001125 0.000275 0.00145
sieg 0.00315 0.0001 0.0002 0.000225
milwauke 0.000125 0.00325 0.000175 0.000125
munich 0.000275 0.0026 0.0002 0.0006
steal 0.000325 0.00075 0.000375 0.002225
error 0.0006 0.0016 0.000725 0.00075
suppos 0.000325 0.00195 0.000625 0.000775
triumph 0.000275 0.0032 7.5e-05 0.000125
dealer 0.0007 0.000125 0.002725 0.000125
fortun 0.000575 0.00095 0.001525 0.000625
estat 0.000225 5e-05 0.002925 0.00045
realiti 0.00075 0.0007 0.0007 0.0015
dark 0.000725 0.001125 0.000325 0.001475
balanc 0.000375 0.000825 0.0014 0.00105
simpli 0.00045 0.001325 0.000425 0.00145
adapt 0.000325 0.000275 0.000375 0.002675
consolid 0.00065 0.000125 0.00155 0.001325
cellular 7.5e-05 0.000425 0.001075 0.002075
allen 0.000225 0.002175 0.00035 0.0009
threeyear 0.000325 0.0017 0.0009 0.000725
tape 0.001675 0.0009 0.0004 0.000675
quick 0.000875 0.0012 0.00065 0.000925
economist 0.0003 2.5e-05 0.003175 0.00015
250 0.0006 0.000275 0.0015 0.001275
deutsch 0.0002 0.001075 0.0019 0.000475
fox 0.001275 0.001175 0.0007 0.0005
sampl 0.0004 0.000725 0.000175 0.002325
patrick 0.000375 0.00255 0.000325 0.000375
broad 0.000925 0.000125 0.00145 0.001125
trojan 5e-05 0.00135 5e-05 0.002175
birdi 0.0001 0.003425 2.5e-05 7.5e-05
exactli 0.0006 0.00135 0.000575 0.0011
outfield 2.5e-05 0.00355 2.5e-05 2.5e-05
colombia 0.002775 0.000425 0.000275 0.00015
myanmar 0.003425 2.5e-05 0.000125 5e-05
unexpectedli 0.00035 0.00035 0.002675 0.00025
gartner 2.5e-05 2.5e-05 0.000475 0.003075
dip 0.000325 0.00015 0.00275 0.000375
listen 0.000775 0.00065 0.0007 0.001475
600 0.000625 0.00015 0.001775 0.00105
czech 0.0004 0.00295 0.000125 0.000125
tension 0.002425 0.000325 0.00065 0.0002
cheer 0.000825 0.001125 0.00105 0.0006
pool 0.000825 0.002075 0.00025 0.00045
dump 0.0011 0.00075 0.001025 0.000725
10000 0.00065 0.001125 0.001175 0.00065
77 0.0003 0.000375 0.001725 0.0012
illinoi 0.000225 0.00205 0.000575 0.00075
christian 0.002025 0.001 0.000225 0.00035
engag 0.001325 0.00035 0.001175 0.00075
exit 0.001 0.001075 0.001075 0.00045
2008 0.000525 0.0015 0.000275 0.0013
kid 0.000375 0.001375 0.00065 0.001175
snow 0.0003 0.000725 0.0023 0.00025
slowdown 0.0004 2.5e-05 0.002775 0.000375
true 0.000575 0.0016 0.000375 0.001025
mortar 0.00335 5e-05 5e-05 0.000125
santa 0.00055 0.000675 0.000875 0.001475
ziff 2.5e-05 2.5e-05 2.5e-05 0.0035
toyota 0.0002 0.001075 0.002025 0.000275
fullyear 7.5e-05 2.5e-05 0.0032 0.000275
februari 0.001125 0.00075 0.000725 0.000975
switzerland 0.0004 0.00245 0.00045 0.000275
headlin 0.00065 0.001275 0.001075 0.000575
femal 0.001975 0.000575 0.00025 0.000775
termin 0.0005 0.0005 0.001925 0.00065
ram 0.000575 0.00245 5e-05 0.0005
alzarqawi 0.0035 2.5e-05 2.5e-05 2.5e-05
expir 0.000875 0.0007 0.001425 0.00055
occur 0.001625 0.0005 0.000325 0.0011
gift 0.0004 0.000575 0.00135 0.001225
solv 0.000875 0.000525 0.0002 0.00195
argument 0.0009 0.000625 0.0011 0.000925
alert 0.00215 0.000125 0.000175 0.0011
heavili 0.00205 0.00035 0.0008 0.00035
landslid 0.003375 5e-05 7.5e-05 5e-05
symantec 5e-05 2.5e-05 0.001 0.002475
exercis 0.0012 0.00115 0.000475 0.000725
harmoni 0.000425 0.0001 0.002675 0.00035
print 0.000225 7.5e-05 0.00075 0.0025
persuad 0.0016 0.0004 0.000775 0.000775
pfizer 5e-05 2.5e-05 0.003225 0.00025
momentum 0.000925 0.0007 0.001125 0.000775
blackberri 2.5e-05 2.5e-05 0.00075 0.002725
neighbor 0.00265 0.000175 0.0003 0.000375
setback 0.0007 0.00095 0.000925 0.000925
confront 0.0016 0.00085 0.000525 0.000525
except 0.00085 0.001175 0.00075 0.000725
serious 0.002125 0.000725 0.000225 0.000425
dr 0.00115 0.00035 0.000725 0.001275
factor 0.000425 0.00065 0.0013 0.001125
twoday 0.001875 0.000225 0.00115 0.00025
widen 0.0007 0.000225 0.0022 0.000375
67 0.000275 0.002475 0.000425 0.000325
regain 0.000925 0.000825 0.001125 0.000625
bronz 0.00035 0.00285 5e-05 0.00025
computerworld 2.5e-05 2.5e-05 0.0004 0.00305
lure 0.000475 0.0005 0.001275 0.00125
tender 0.000225 0.0003 0.001825 0.00115
undergo 0.001125 0.001775 0.00025 0.00035
righthand 0.00025 0.003125 0.0001 2.5e-05
agassi 0.0002 0.003225 5e-05 2.5e-05
secretarygener 0.0033 2.5e-05 5e-05 0.000125
alltim 0.000275 0.00155 0.0015 0.000175
clemen 0.00025 0.0032 2.5e-05 2.5e-05
serena 0.000175 0.003175 2.5e-05 0.000125
shell 0.001025 0.000175 0.00145 0.000825
submit 0.000775 0.000725 0.001175 0.0008
sean 0.0001 0.001225 0.00035 0.0018
endang 0.000825 5e-05 0.000175 0.002425
equal 0.000575 0.001775 0.000675 0.00045
chipmak 7.5e-05 2.5e-05 0.00115 0.002225
suspicion 0.0024 0.000375 0.000125 0.000575
chavez 0.001925 0.000325 0.001125 0.0001
farm 0.000625 0.0006 0.001375 0.000875
stood 0.001 0.001475 0.0005 0.0005
duti 0.00125 0.000775 0.001 0.00045
pentagon 0.0017 2.5e-05 0.0011 0.00065
cd 7.5e-05 0.000225 0.0002 0.002975
eve 0.001675 0.00125 0.000425 0.000125
optimist 0.000675 0.0005 0.0016 0.0007
thanksgiv 0.0002 0.000625 0.00235 0.0003
fame 0.00055 0.00215 0.000225 0.000525
item 0.0004 0.00025 0.001425 0.001375
sort 0.000625 0.001075 0.00055 0.0012
occupi 0.0029 0.000275 0.000125 0.00015
pop 0.001 0.000875 0.0005 0.001075
2007 0.000425 0.000525 0.001225 0.001275
stabil 0.001575 0.00025 0.001475 0.00015
brewer 0.000125 0.00195 0.0013 7.5e-05
ricki 0.0001 0.0033 2.5e-05 2.5e-05
vike 5e-05 0.0032 5e-05 0.00015
eliot 5e-05 2.5e-05 0.00325 0.000125
cnnmoney 2.5e-05 5e-05 0.003 0.000375
newratingscom 2.5e-05 2.5e-05 0.003175 0.000225
sharapova 7.5e-05 0.003275 7.5e-05 2.5e-05
genesi 0.0002 2.5e-05 2.5e-05 0.003175
conspiraci 0.000775 0.000325 0.001275 0.00105
entri 0.00145 0.000425 0.000275 0.001275
nativ 0.000525 0.001525 0.000225 0.00115
cloud 0.001125 0.000575 0.000575 0.00115
phase 0.000575 0.00095 0.00075 0.00115
ceasefir 0.002825 5e-05 0.0005 5e-05
ail 0.0016 0.0005 0.001125 0.0002
reign 0.0004 0.0018 0.000575 0.00065
portfolio 0.000125 2.5e-05 0.00175 0.001525
fenway 7.5e-05 0.0031 0.0002 5e-05
billionair 0.00025 0.000525 0.00205 0.0006
musab 0.00335 2.5e-05 2.5e-05 2.5e-05
deadliest 0.003225 5e-05 2.5e-05 0.000125
inspir 0.000525 0.00175 0.00045 0.000675
cultur 0.0013 0.000225 0.0006 0.001275
babi 0.0013 0.000275 0.000375 0.00145
